{'model': {'name': 'sc_agent', 'max_iterations': 2, 'max_retry': 2, 'chunking': False, 'logname': 'sc_agent'}, 'tools': {'Finish': {'open': True}, 'GetTaskDescription': {'open': True}, 'GetRelationDefinition': {'open': True}, 'RetrieveExamples': {'open': True, 'mode': 'bge', 'k': 3}}, 'train': {'if_train': False, 'if_predict': True, 'if_evaluate': True, 'trainer': 'trainer_sc_agent'}, 'data': {'type': 're', 'name': 'Wikidata', 'language': 'en', 'num_samples': 150, 'num_samples_index': 1000, 'train_num_samples': 0, 'input_trace': True}, 'llm': {'model_name': 'glm-4.7', 'temperature': 0, 'max_tokens': 4096, 'use_cache': False, 'client': 'academic'}}
Start predicting with 150 samples (indices 0..149).
idx=0, metric_dict={'f1': 0.6667, 'recall': 0.5, 'precision': 1.0}
idx=1, metric_dict={'f1': 0.3333, 'recall': 0.3333, 'precision': 0.3333}
idx=2, metric_dict={'f1': 0.1111, 'recall': 0.2, 'precision': 0.0769}
idx=3, metric_dict={'f1': 0.1053, 'recall': 0.1667, 'precision': 0.0769}
idx=4, metric_dict={'f1': 0.1538, 'recall': 0.2857, 'precision': 0.1053}
idx=5, metric_dict={'f1': 0.1212, 'recall': 0.1429, 'precision': 0.1053}
idx=6, metric_dict={'f1': 0.0506, 'recall': 0.125, 'precision': 0.0317}
idx=7, metric_dict={'f1': 0.0488, 'recall': 0.1053, 'precision': 0.0317}
idx=8, metric_dict={'f1': 0.0482, 'recall': 0.1, 'precision': 0.0317}
idx=9, metric_dict={'f1': 0.0476, 'recall': 0.0952, 'precision': 0.0317}
idx=10, metric_dict={'f1': 0.0659, 'recall': 0.1364, 'precision': 0.0435}
idx=11, metric_dict={'f1': 0.0632, 'recall': 0.1304, 'precision': 0.0417}
idx=12, metric_dict={'f1': 0.0784, 'recall': 0.16, 'precision': 0.0519}
idx=13, metric_dict={'f1': 0.0635, 'recall': 0.1538, 'precision': 0.04}
idx=14, metric_dict={'f1': 0.0385, 'recall': 0.1481, 'precision': 0.0221}
idx=15, metric_dict={'f1': 0.0307, 'recall': 0.1724, 'precision': 0.0168}
idx=16, metric_dict={'f1': 0.0299, 'recall': 0.1667, 'precision': 0.0164}
idx=17, metric_dict={'f1': 0.0299, 'recall': 0.1613, 'precision': 0.0164}
idx=18, metric_dict={'f1': 0.0296, 'recall': 0.1471, 'precision': 0.0164}
idx=19, metric_dict={'f1': 0.0289, 'recall': 0.1429, 'precision': 0.0161}
idx=20, metric_dict={'f1': 0.0288, 'recall': 0.1389, 'precision': 0.0161}
idx=21, metric_dict={'f1': 0.0282, 'recall': 0.1351, 'precision': 0.0157}
idx=22, metric_dict={'f1': 0.0281, 'recall': 0.1316, 'precision': 0.0157}
idx=23, metric_dict={'f1': 0.0267, 'recall': 0.1282, 'precision': 0.0149}
idx=24, metric_dict={'f1': 0.0262, 'recall': 0.125, 'precision': 0.0147}
idx=25, metric_dict={'f1': 0.025, 'recall': 0.119, 'precision': 0.014}
idx=26, metric_dict={'f1': 0.024, 'recall': 0.1136, 'precision': 0.0134}
idx=27, metric_dict={'f1': 0.0287, 'recall': 0.1333, 'precision': 0.0161}
idx=28, metric_dict={'f1': 0.0267, 'recall': 0.1277, 'precision': 0.0149}
idx=29, metric_dict={'f1': 0.0265, 'recall': 0.125, 'precision': 0.0149}
idx=30, metric_dict={'f1': 0.0231, 'recall': 0.1224, 'precision': 0.0127}
idx=31, metric_dict={'f1': 0.023, 'recall': 0.12, 'precision': 0.0127}
idx=32, metric_dict={'f1': 0.0226, 'recall': 0.1176, 'precision': 0.0125}
idx=33, metric_dict={'f1': 0.0219, 'recall': 0.1154, 'precision': 0.0121}
idx=34, metric_dict={'f1': 0.0245, 'recall': 0.1273, 'precision': 0.0136}
idx=35, metric_dict={'f1': 0.0245, 'recall': 0.125, 'precision': 0.0136}
idx=36, metric_dict={'f1': 0.03, 'recall': 0.1525, 'precision': 0.0166}
idx=37, metric_dict={'f1': 0.0294, 'recall': 0.15, 'precision': 0.0163}
idx=38, metric_dict={'f1': 0.0318, 'recall': 0.1639, 'precision': 0.0176}
idx=39, metric_dict={'f1': 0.0309, 'recall': 0.1613, 'precision': 0.0171}
idx=40, metric_dict={'f1': 0.0308, 'recall': 0.1587, 'precision': 0.017}
idx=41, metric_dict={'f1': 0.0337, 'recall': 0.1719, 'precision': 0.0187}
idx=42, metric_dict={'f1': 0.0361, 'recall': 0.1846, 'precision': 0.02}
idx=43, metric_dict={'f1': 0.036, 'recall': 0.1791, 'precision': 0.02}
idx=44, metric_dict={'f1': 0.0354, 'recall': 0.1765, 'precision': 0.0197}
idx=45, metric_dict={'f1': 0.0337, 'recall': 0.1739, 'precision': 0.0187}
idx=46, metric_dict={'f1': 0.0337, 'recall': 0.1714, 'precision': 0.0187}
idx=47, metric_dict={'f1': 0.0364, 'recall': 0.1831, 'precision': 0.0202}
idx=48, metric_dict={'f1': 0.0357, 'recall': 0.1806, 'precision': 0.0198}
idx=49, metric_dict={'f1': 0.0344, 'recall': 0.1781, 'precision': 0.019}
idx=50, metric_dict={'f1': 0.0342, 'recall': 0.1757, 'precision': 0.019}
idx=51, metric_dict={'f1': 0.0342, 'recall': 0.1733, 'precision': 0.019}
idx=52, metric_dict={'f1': 0.0341, 'recall': 0.1711, 'precision': 0.0189}
idx=53, metric_dict={'f1': 0.0335, 'recall': 0.1688, 'precision': 0.0186}
idx=54, metric_dict={'f1': 0.0315, 'recall': 0.1605, 'precision': 0.0175}
idx=55, metric_dict={'f1': 0.0281, 'recall': 0.1585, 'precision': 0.0154}
idx=56, metric_dict={'f1': 0.0279, 'recall': 0.1566, 'precision': 0.0153}
idx=57, metric_dict={'f1': 0.029, 'recall': 0.1667, 'precision': 0.0159}
idx=58, metric_dict={'f1': 0.0289, 'recall': 0.1647, 'precision': 0.0158}
idx=59, metric_dict={'f1': 0.0327, 'recall': 0.1818, 'precision': 0.018}
idx=60, metric_dict={'f1': 0.0318, 'recall': 0.1778, 'precision': 0.0175}
idx=61, metric_dict={'f1': 0.0317, 'recall': 0.1758, 'precision': 0.0174}
idx=62, metric_dict={'f1': 0.0315, 'recall': 0.1739, 'precision': 0.0173}
idx=63, metric_dict={'f1': 0.0332, 'recall': 0.1828, 'precision': 0.0183}
idx=64, metric_dict={'f1': 0.0332, 'recall': 0.1809, 'precision': 0.0183}
idx=65, metric_dict={'f1': 0.0331, 'recall': 0.1789, 'precision': 0.0182}
idx=66, metric_dict={'f1': 0.0331, 'recall': 0.1771, 'precision': 0.0182}
idx=67, metric_dict={'f1': 0.033, 'recall': 0.1735, 'precision': 0.0182}
idx=68, metric_dict={'f1': 0.0329, 'recall': 0.1717, 'precision': 0.0182}
idx=69, metric_dict={'f1': 0.0329, 'recall': 0.17, 'precision': 0.0182}
idx=70, metric_dict={'f1': 0.031, 'recall': 0.1667, 'precision': 0.0171}
idx=71, metric_dict={'f1': 0.031, 'recall': 0.165, 'precision': 0.0171}
idx=72, metric_dict={'f1': 0.0302, 'recall': 0.1635, 'precision': 0.0166}
idx=73, metric_dict={'f1': 0.0288, 'recall': 0.1619, 'precision': 0.0158}
idx=74, metric_dict={'f1': 0.0286, 'recall': 0.1604, 'precision': 0.0157}
idx=75, metric_dict={'f1': 0.03, 'recall': 0.1682, 'precision': 0.0165}
idx=76, metric_dict={'f1': 0.0316, 'recall': 0.1759, 'precision': 0.0173}
idx=77, metric_dict={'f1': 0.031, 'recall': 0.1743, 'precision': 0.017}
idx=78, metric_dict={'f1': 0.0319, 'recall': 0.1818, 'precision': 0.0175}
idx=79, metric_dict={'f1': 0.0319, 'recall': 0.177, 'precision': 0.0175}
idx=80, metric_dict={'f1': 0.0318, 'recall': 0.1724, 'precision': 0.0175}
idx=81, metric_dict={'f1': 0.0316, 'recall': 0.1709, 'precision': 0.0174}
idx=82, metric_dict={'f1': 0.0309, 'recall': 0.1695, 'precision': 0.017}
idx=83, metric_dict={'f1': 0.0309, 'recall': 0.1681, 'precision': 0.017}
idx=84, metric_dict={'f1': 0.0323, 'recall': 0.175, 'precision': 0.0178}
idx=85, metric_dict={'f1': 0.0321, 'recall': 0.1736, 'precision': 0.0177}
idx=86, metric_dict={'f1': 0.0313, 'recall': 0.1721, 'precision': 0.0172}
idx=87, metric_dict={'f1': 0.0301, 'recall': 0.1707, 'precision': 0.0165}
idx=88, metric_dict={'f1': 0.0297, 'recall': 0.1694, 'precision': 0.0163}
idx=89, metric_dict={'f1': 0.0291, 'recall': 0.168, 'precision': 0.0159}
idx=90, metric_dict={'f1': 0.0288, 'recall': 0.1667, 'precision': 0.0158}
idx=91, metric_dict={'f1': 0.0301, 'recall': 0.1732, 'precision': 0.0165}
idx=92, metric_dict={'f1': 0.0314, 'recall': 0.1797, 'precision': 0.0172}
idx=93, metric_dict={'f1': 0.031, 'recall': 0.1742, 'precision': 0.017}
idx=94, metric_dict={'f1': 0.0322, 'recall': 0.1805, 'precision': 0.0177}
idx=95, metric_dict={'f1': 0.0316, 'recall': 0.1791, 'precision': 0.0173}
idx=96, metric_dict={'f1': 0.0316, 'recall': 0.1778, 'precision': 0.0173}
idx=97, metric_dict={'f1': 0.031, 'recall': 0.1765, 'precision': 0.017}
idx=98, metric_dict={'f1': 0.0306, 'recall': 0.1752, 'precision': 0.0167}
idx=99, metric_dict={'f1': 0.0305, 'recall': 0.1739, 'precision': 0.0167}
idx=100, metric_dict={'f1': 0.0304, 'recall': 0.1727, 'precision': 0.0167}
idx=101, metric_dict={'f1': 0.0303, 'recall': 0.1714, 'precision': 0.0166}
idx=102, metric_dict={'f1': 0.0315, 'recall': 0.1773, 'precision': 0.0173}
idx=103, metric_dict={'f1': 0.0315, 'recall': 0.1761, 'precision': 0.0173}
idx=104, metric_dict={'f1': 0.0313, 'recall': 0.1712, 'precision': 0.0172}
idx=105, metric_dict={'f1': 0.0306, 'recall': 0.1678, 'precision': 0.0168}
idx=106, metric_dict={'f1': 0.0314, 'recall': 0.1733, 'precision': 0.0173}
idx=107, metric_dict={'f1': 0.0324, 'recall': 0.1788, 'precision': 0.0178}
idx=108, metric_dict={'f1': 0.0324, 'recall': 0.1776, 'precision': 0.0178}
idx=109, metric_dict={'f1': 0.0337, 'recall': 0.1883, 'precision': 0.0185}
idx=110, metric_dict={'f1': 0.0336, 'recall': 0.1871, 'precision': 0.0185}
idx=111, metric_dict={'f1': 0.0336, 'recall': 0.1859, 'precision': 0.0185}
idx=112, metric_dict={'f1': 0.0335, 'recall': 0.1847, 'precision': 0.0184}
idx=113, metric_dict={'f1': 0.0344, 'recall': 0.1899, 'precision': 0.0189}
idx=114, metric_dict={'f1': 0.0337, 'recall': 0.1887, 'precision': 0.0185}
idx=115, metric_dict={'f1': 0.0335, 'recall': 0.1875, 'precision': 0.0184}
idx=116, metric_dict={'f1': 0.0333, 'recall': 0.1863, 'precision': 0.0183}
idx=117, metric_dict={'f1': 0.0332, 'recall': 0.1852, 'precision': 0.0183}
idx=118, metric_dict={'f1': 0.0332, 'recall': 0.184, 'precision': 0.0183}
idx=119, metric_dict={'f1': 0.0342, 'recall': 0.189, 'precision': 0.0188}
idx=120, metric_dict={'f1': 0.0341, 'recall': 0.1879, 'precision': 0.0187}
idx=121, metric_dict={'f1': 0.0369, 'recall': 0.1988, 'precision': 0.0204}
idx=122, metric_dict={'f1': 0.0368, 'recall': 0.1977, 'precision': 0.0203}
idx=123, metric_dict={'f1': 0.0368, 'recall': 0.1965, 'precision': 0.0203}
idx=124, metric_dict={'f1': 0.0357, 'recall': 0.1932, 'precision': 0.0197}
idx=125, metric_dict={'f1': 0.0354, 'recall': 0.1921, 'precision': 0.0195}
idx=126, metric_dict={'f1': 0.0364, 'recall': 0.1966, 'precision': 0.0201}
idx=127, metric_dict={'f1': 0.0363, 'recall': 0.1955, 'precision': 0.02}
idx=128, metric_dict={'f1': 0.0372, 'recall': 0.2, 'precision': 0.0205}
idx=129, metric_dict={'f1': 0.0382, 'recall': 0.2044, 'precision': 0.021}
idx=130, metric_dict={'f1': 0.0378, 'recall': 0.2022, 'precision': 0.0208}
idx=131, metric_dict={'f1': 0.0387, 'recall': 0.2065, 'precision': 0.0214}
idx=132, metric_dict={'f1': 0.0378, 'recall': 0.2043, 'precision': 0.0208}
idx=133, metric_dict={'f1': 0.0373, 'recall': 0.2021, 'precision': 0.0205}
idx=134, metric_dict={'f1': 0.0371, 'recall': 0.2011, 'precision': 0.0204}
idx=135, metric_dict={'f1': 0.0369, 'recall': 0.2, 'precision': 0.0203}
idx=136, metric_dict={'f1': 0.0368, 'recall': 0.199, 'precision': 0.0203}
idx=137, metric_dict={'f1': 0.0365, 'recall': 0.1969, 'precision': 0.0201}
idx=138, metric_dict={'f1': 0.0364, 'recall': 0.1959, 'precision': 0.0201}
idx=139, metric_dict={'f1': 0.0372, 'recall': 0.2, 'precision': 0.0205}
idx=140, metric_dict={'f1': 0.0371, 'recall': 0.199, 'precision': 0.0205}
idx=141, metric_dict={'f1': 0.038, 'recall': 0.203, 'precision': 0.021}
idx=142, metric_dict={'f1': 0.038, 'recall': 0.201, 'precision': 0.021}
idx=143, metric_dict={'f1': 0.0378, 'recall': 0.2, 'precision': 0.0209}
idx=144, metric_dict={'f1': 0.0386, 'recall': 0.204, 'precision': 0.0213}
idx=145, metric_dict={'f1': 0.0394, 'recall': 0.2079, 'precision': 0.0218}
idx=146, metric_dict={'f1': 0.0403, 'recall': 0.2118, 'precision': 0.0222}
idx=147, metric_dict={'f1': 0.0408, 'recall': 0.2157, 'precision': 0.0225}
idx=148, metric_dict={'f1': 0.0407, 'recall': 0.2146, 'precision': 0.0225}
idx=149, metric_dict={'f1': 0.0401, 'recall': 0.2184, 'precision': 0.0221}
Saving LLM input trace to input_trace_Wikidata/llm_input_trace_sc_agent_glm-4.7_Wikidata_.json...
Finish predicting with 150 samples.
Loading results...
Generating train split: 150 examples [00:00, 528.19 examples/s]
Evaluating...
Evaluation result: {'f1': 0.0401, 'recall': 0.2184, 'precision': 0.0221}
