{'model': {'name': 'sc_agent', 'max_iterations': 2, 'max_retry': 2, 'chunking': False, 'logname': 'sc_agent'}, 'tools': {'Finish': {'open': True}, 'GetTaskDescription': {'open': True}, 'GetRelationDefinition': {'open': True}, 'RetrieveExamples': {'open': True, 'mode': 'bge', 'k': 3}}, 'train': {'if_train': False, 'if_predict': True, 'if_evaluate': True, 'trainer': 'trainer_sc_agent'}, 'data': {'type': 're', 'name': 'Wikidata', 'language': 'en', 'num_samples': 150, 'num_samples_index': 1000, 'train_num_samples': 0, 'input_trace': True}, 'llm': {'model_name': 'glm-4.7', 'temperature': 0, 'max_tokens': 4096, 'use_cache': False, 'client': 'academic'}}
Start predicting with 150 samples (indices 0..149).
idx=0, metric_dict={'f1': 0, 'recall': 0.0, 'precision': 0.0}
idx=1, metric_dict={'f1': 0, 'recall': 0.0, 'precision': 0.0}
idx=2, metric_dict={'f1': 0, 'recall': 0.0, 'precision': 0.0}
idx=3, metric_dict={'f1': 0, 'recall': 0.0, 'precision': 0.0}
idx=4, metric_dict={'f1': 0.0351, 'recall': 0.1429, 'precision': 0.02}
idx=5, metric_dict={'f1': 0.0312, 'recall': 0.0714, 'precision': 0.02}
idx=6, metric_dict={'f1': 0.023, 'recall': 0.0625, 'precision': 0.0141}
idx=7, metric_dict={'f1': 0.0222, 'recall': 0.0526, 'precision': 0.0141}
idx=8, metric_dict={'f1': 0.022, 'recall': 0.05, 'precision': 0.0141}
idx=9, metric_dict={'f1': 0.0217, 'recall': 0.0476, 'precision': 0.0141}
idx=10, metric_dict={'f1': 0.0404, 'recall': 0.0909, 'precision': 0.026}
idx=11, metric_dict={'f1': 0.0301, 'recall': 0.087, 'precision': 0.0182}
idx=12, metric_dict={'f1': 0.0584, 'recall': 0.16, 'precision': 0.0357}
idx=13, metric_dict={'f1': 0.0544, 'recall': 0.1538, 'precision': 0.0331}
idx=14, metric_dict={'f1': 0.0372, 'recall': 0.1481, 'precision': 0.0213}
idx=15, metric_dict={'f1': 0.0422, 'recall': 0.1724, 'precision': 0.024}
idx=16, metric_dict={'f1': 0.0496, 'recall': 0.2, 'precision': 0.0283}
idx=17, metric_dict={'f1': 0.0545, 'recall': 0.2258, 'precision': 0.031}
idx=18, metric_dict={'f1': 0.0453, 'recall': 0.2059, 'precision': 0.0255}
idx=19, metric_dict={'f1': 0.0442, 'recall': 0.2, 'precision': 0.0248}
idx=20, metric_dict={'f1': 0.0376, 'recall': 0.1944, 'precision': 0.0208}
idx=21, metric_dict={'f1': 0.0368, 'recall': 0.1892, 'precision': 0.0204}
idx=22, metric_dict={'f1': 0.0332, 'recall': 0.1842, 'precision': 0.0182}
idx=23, metric_dict={'f1': 0.0317, 'recall': 0.1795, 'precision': 0.0174}
idx=24, metric_dict={'f1': 0.0315, 'recall': 0.175, 'precision': 0.0173}
idx=25, metric_dict={'f1': 0.0389, 'recall': 0.2143, 'precision': 0.0214}
idx=26, metric_dict={'f1': 0.0406, 'recall': 0.2273, 'precision': 0.0223}
idx=27, metric_dict={'f1': 0.0443, 'recall': 0.2444, 'precision': 0.0243}
idx=28, metric_dict={'f1': 0.0413, 'recall': 0.234, 'precision': 0.0226}
idx=29, metric_dict={'f1': 0.041, 'recall': 0.2292, 'precision': 0.0225}
idx=30, metric_dict={'f1': 0.0402, 'recall': 0.2245, 'precision': 0.0221}
idx=31, metric_dict={'f1': 0.0401, 'recall': 0.22, 'precision': 0.022}
idx=32, metric_dict={'f1': 0.0394, 'recall': 0.2157, 'precision': 0.0217}
idx=33, metric_dict={'f1': 0.0383, 'recall': 0.2115, 'precision': 0.021}
idx=34, metric_dict={'f1': 0.0375, 'recall': 0.2, 'precision': 0.0207}
idx=35, metric_dict={'f1': 0.0397, 'recall': 0.2143, 'precision': 0.0219}
idx=36, metric_dict={'f1': 0.0444, 'recall': 0.2373, 'precision': 0.0245}
idx=37, metric_dict={'f1': 0.0443, 'recall': 0.2333, 'precision': 0.0245}
idx=38, metric_dict={'f1': 0.0466, 'recall': 0.2459, 'precision': 0.0257}
idx=39, metric_dict={'f1': 0.0449, 'recall': 0.2419, 'precision': 0.0248}
idx=40, metric_dict={'f1': 0.0448, 'recall': 0.2381, 'precision': 0.0247}
idx=41, metric_dict={'f1': 0.0474, 'recall': 0.25, 'precision': 0.0262}
idx=42, metric_dict={'f1': 0.0498, 'recall': 0.2615, 'precision': 0.0275}
idx=43, metric_dict={'f1': 0.0496, 'recall': 0.2537, 'precision': 0.0275}
idx=44, metric_dict={'f1': 0.0488, 'recall': 0.25, 'precision': 0.027}
idx=45, metric_dict={'f1': 0.0484, 'recall': 0.2464, 'precision': 0.0269}
idx=46, metric_dict={'f1': 0.0483, 'recall': 0.2429, 'precision': 0.0268}
idx=47, metric_dict={'f1': 0.051, 'recall': 0.2535, 'precision': 0.0283}
idx=48, metric_dict={'f1': 0.0497, 'recall': 0.25, 'precision': 0.0276}
idx=49, metric_dict={'f1': 0.0497, 'recall': 0.2466, 'precision': 0.0276}
idx=50, metric_dict={'f1': 0.0488, 'recall': 0.2432, 'precision': 0.0271}
idx=51, metric_dict={'f1': 0.0487, 'recall': 0.24, 'precision': 0.0271}
idx=52, metric_dict={'f1': 0.0486, 'recall': 0.2368, 'precision': 0.0271}
idx=53, metric_dict={'f1': 0.0479, 'recall': 0.2338, 'precision': 0.0267}
idx=54, metric_dict={'f1': 0.047, 'recall': 0.2222, 'precision': 0.0263}
idx=55, metric_dict={'f1': 0.0457, 'recall': 0.2195, 'precision': 0.0255}
idx=56, metric_dict={'f1': 0.0455, 'recall': 0.2169, 'precision': 0.0254}
idx=57, metric_dict={'f1': 0.0458, 'recall': 0.2262, 'precision': 0.0255}
idx=58, metric_dict={'f1': 0.0452, 'recall': 0.2235, 'precision': 0.0252}
idx=59, metric_dict={'f1': 0.0495, 'recall': 0.2386, 'precision': 0.0276}
idx=60, metric_dict={'f1': 0.0473, 'recall': 0.2333, 'precision': 0.0263}
idx=61, metric_dict={'f1': 0.0472, 'recall': 0.2308, 'precision': 0.0263}
idx=62, metric_dict={'f1': 0.0468, 'recall': 0.2283, 'precision': 0.0261}
idx=63, metric_dict={'f1': 0.0488, 'recall': 0.2366, 'precision': 0.0272}
idx=64, metric_dict={'f1': 0.0486, 'recall': 0.234, 'precision': 0.0271}
idx=65, metric_dict={'f1': 0.0484, 'recall': 0.2316, 'precision': 0.027}
idx=66, metric_dict={'f1': 0.0479, 'recall': 0.2292, 'precision': 0.0268}
idx=67, metric_dict={'f1': 0.0478, 'recall': 0.2245, 'precision': 0.0268}
idx=68, metric_dict={'f1': 0.0477, 'recall': 0.2222, 'precision': 0.0267}
idx=69, metric_dict={'f1': 0.0477, 'recall': 0.22, 'precision': 0.0267}
idx=70, metric_dict={'f1': 0.0476, 'recall': 0.2157, 'precision': 0.0267}
idx=71, metric_dict={'f1': 0.0475, 'recall': 0.2136, 'precision': 0.0267}
idx=72, metric_dict={'f1': 0.0458, 'recall': 0.2115, 'precision': 0.0257}
idx=73, metric_dict={'f1': 0.0437, 'recall': 0.2095, 'precision': 0.0244}
idx=74, metric_dict={'f1': 0.0433, 'recall': 0.2075, 'precision': 0.0242}
idx=75, metric_dict={'f1': 0.045, 'recall': 0.215, 'precision': 0.0251}
