SETUP C RESULTS FULL TEST SET 

{'model': {'name': 'sc_agent', 'max_iterations': 2, 'max_retry': 2, 'chunking': False, 'study': 'complete', 'mode': 'direct', 'retrieval_switch': True, 'no_examples': False, 'logname': 'sc_agent'}, 'tools': {'Finish': {'open': True}, 'GetTaskDescription': {'open': True}, 'GetRelationDefinition': {'open': True}, 'RetrieveExamples': {'open': True, 'mode': 'bge', 'k': 3}}, 'train': {'if_train': False, 'if_predict': True, 'if_evaluate': True, 'trainer': 'trainer_sc_agent'}, 'data': {'type': 're', 'name': 'Wikidata', 'language': 'en', 'num_samples': 150, 'num_samples_index': 1000, 'train_num_samples': 0, 'input_trace': True}, 'llm': {'model_name': 'glm-4.7', 'temperature': 0, 'max_tokens': 4096, 'use_cache': False, 'client': 'academic'}}
Start predicting with 150 samples (indices 0..149).
idx=0, metric_dict={'f1': 0, 'recall': 0.0, 'precision': 0.0}
idx=1, metric_dict={'f1': 0.0741, 'recall': 0.3333, 'precision': 0.0417}
idx=2, metric_dict={'f1': 0.04, 'recall': 0.2, 'precision': 0.0222}
idx=3, metric_dict={'f1': 0.0392, 'recall': 0.1667, 'precision': 0.0222}
idx=4, metric_dict={'f1': 0.069, 'recall': 0.2857, 'precision': 0.0392}
idx=5, metric_dict={'f1': 0.026, 'recall': 0.1429, 'precision': 0.0143}
idx=6, metric_dict={'f1': 0.0193, 'recall': 0.125, 'precision': 0.0105}
idx=7, metric_dict={'f1': 0.019, 'recall': 0.1053, 'precision': 0.0105}
idx=8, metric_dict={'f1': 0.019, 'recall': 0.1, 'precision': 0.0105}
idx=9, metric_dict={'f1': 0.0189, 'recall': 0.0952, 'precision': 0.0105}
idx=10, metric_dict={'f1': 0.0274, 'recall': 0.1364, 'precision': 0.0152}
idx=11, metric_dict={'f1': 0.0273, 'recall': 0.1304, 'precision': 0.0152}
idx=12, metric_dict={'f1': 0.03, 'recall': 0.2, 'precision': 0.0162}
idx=13, metric_dict={'f1': 0.0279, 'recall': 0.1923, 'precision': 0.0151}
idx=14, metric_dict={'f1': 0.0249, 'recall': 0.1852, 'precision': 0.0133}
idx=15, metric_dict={'f1': 0.0248, 'recall': 0.1724, 'precision': 0.0133}
idx=16, metric_dict={'f1': 0.0247, 'recall': 0.1667, 'precision': 0.0133}
idx=17, metric_dict={'f1': 0.0246, 'recall': 0.1613, 'precision': 0.0133}
idx=18, metric_dict={'f1': 0.0244, 'recall': 0.1471, 'precision': 0.0133}
idx=19, metric_dict={'f1': 0.0243, 'recall': 0.1429, 'precision': 0.0133}
idx=20, metric_dict={'f1': 0.0242, 'recall': 0.1389, 'precision': 0.0133}
idx=21, metric_dict={'f1': 0.0236, 'recall': 0.1351, 'precision': 0.013}
idx=22, metric_dict={'f1': 0.0236, 'recall': 0.1316, 'precision': 0.013}
idx=23, metric_dict={'f1': 0.0221, 'recall': 0.1282, 'precision': 0.0121}
idx=24, metric_dict={'f1': 0.0219, 'recall': 0.125, 'precision': 0.012}
