{'model': {'name': 'sc_agent', 'max_iterations': 2, 'max_retry': 2, 'chunking': False, 'study': 'complete', 'mode': 'direct', 'retrieval_switch': True, 'no_examples': False, 'logname': 'sc_agent'}, 'tools': {'Finish': {'open': True}, 'GetTaskDescription': {'open': True}, 'GetRelationDefinition': {'open': True}, 'RetrieveExamples': {'open': True, 'mode': 'bge', 'k': 3}}, 'train': {'if_train': False, 'if_predict': True, 'if_evaluate': True, 'trainer': 'trainer_sc_agent'}, 'data': {'type': 're', 'name': 'Wikidata', 'language': 'en', 'num_samples': 150, 'num_samples_index': 1000, 'train_num_samples': 0, 'input_trace': True}, 'llm': {'model_name': 'glm-4.7', 'temperature': 0, 'max_tokens': 4096, 'use_cache': False, 'client': 'academic'}}
Start predicting with 150 samples (indices 0..149).
idx=0, metric_dict={'f1': 0, 'recall': 0.0, 'precision': 0.0}
idx=1, metric_dict={'f1': 0.0741, 'recall': 0.3333, 'precision': 0.0417}
idx=2, metric_dict={'f1': 0.0244, 'recall': 0.2, 'precision': 0.013}
idx=3, metric_dict={'f1': 0.0241, 'recall': 0.1667, 'precision': 0.013}
idx=4, metric_dict={'f1': 0.044, 'recall': 0.2857, 'precision': 0.0238}
idx=5, metric_dict={'f1': 0.0408, 'recall': 0.1429, 'precision': 0.0238}
idx=6, metric_dict={'f1': 0.0265, 'recall': 0.125, 'precision': 0.0148}
idx=7, metric_dict={'f1': 0.026, 'recall': 0.1053, 'precision': 0.0148}
idx=8, metric_dict={'f1': 0.0258, 'recall': 0.1, 'precision': 0.0148}
idx=9, metric_dict={'f1': 0.0256, 'recall': 0.0952, 'precision': 0.0148}
idx=10, metric_dict={'f1': 0.0368, 'recall': 0.1364, 'precision': 0.0213}
idx=11, metric_dict={'f1': 0.0366, 'recall': 0.1304, 'precision': 0.0213}
idx=12, metric_dict={'f1': 0.0581, 'recall': 0.2, 'precision': 0.034}
idx=13, metric_dict={'f1': 0.051, 'recall': 0.1923, 'precision': 0.0294}
idx=14, metric_dict={'f1': 0.0508, 'recall': 0.1852, 'precision': 0.0294}
idx=15, metric_dict={'f1': 0.0503, 'recall': 0.1724, 'precision': 0.0294}
idx=16, metric_dict={'f1': 0.05, 'recall': 0.1667, 'precision': 0.0294}
idx=17, metric_dict={'f1': 0.0498, 'recall': 0.1613, 'precision': 0.0294}
idx=18, metric_dict={'f1': 0.049, 'recall': 0.1471, 'precision': 0.0294}
idx=19, metric_dict={'f1': 0.0483, 'recall': 0.1429, 'precision': 0.0291}
idx=20, metric_dict={'f1': 0.0481, 'recall': 0.1389, 'precision': 0.0291}
idx=21, metric_dict={'f1': 0.0459, 'recall': 0.1351, 'precision': 0.0276}
idx=22, metric_dict={'f1': 0.0424, 'recall': 0.1316, 'precision': 0.0253}
idx=23, metric_dict={'f1': 0.041, 'recall': 0.1282, 'precision': 0.0244}
idx=24, metric_dict={'f1': 0.0405, 'recall': 0.125, 'precision': 0.0242}
idx=25, metric_dict={'f1': 0.0376, 'recall': 0.119, 'precision': 0.0223}
idx=26, metric_dict={'f1': 0.0355, 'recall': 0.1136, 'precision': 0.021}
idx=27, metric_dict={'f1': 0.0423, 'recall': 0.1333, 'precision': 0.0251}
idx=28, metric_dict={'f1': 0.042, 'recall': 0.1277, 'precision': 0.0251}
idx=29, metric_dict={'f1': 0.0417, 'recall': 0.125, 'precision': 0.025}
idx=30, metric_dict={'f1': 0.0415, 'recall': 0.1224, 'precision': 0.025}
idx=31, metric_dict={'f1': 0.0412, 'recall': 0.12, 'precision': 0.0249}
idx=32, metric_dict={'f1': 0.0395, 'recall': 0.1176, 'precision': 0.0237}
idx=33, metric_dict={'f1': 0.0393, 'recall': 0.1154, 'precision': 0.0237}
idx=34, metric_dict={'f1': 0.0372, 'recall': 0.1091, 'precision': 0.0224}
idx=35, metric_dict={'f1': 0.0413, 'recall': 0.125, 'precision': 0.0247}
idx=36, metric_dict={'f1': 0.0409, 'recall': 0.1186, 'precision': 0.0247}
