{'model': {'name': 'sc_agent', 'max_iterations': 2, 'max_retry': 2, 'chunking': False, 'study': 'complete', 'mode': 'direct', 'retrieval_switch': True, 'no_examples': False, 'logname': 'sc_agent'}, 'tools': {'Finish': {'open': True}, 'GetTaskDescription': {'open': True}, 'GetRelationDefinition': {'open': True}, 'RetrieveExamples': {'open': True, 'mode': 'bge', 'k': 3}}, 'train': {'if_train': False, 'if_predict': True, 'if_evaluate': True, 'trainer': 'trainer_sc_agent'}, 'data': {'type': 're', 'name': 'Wikidata', 'language': 'en', 'num_samples': 150, 'num_samples_index': 1000, 'train_num_samples': 0, 'input_trace': True}, 'llm': {'model_name': 'glm-4.7', 'temperature': 0, 'max_tokens': 4096, 'use_cache': False, 'client': 'academic'}}       
Start predicting with 150 samples (indices 0..149).
idx=0, metric_dict={'f1': 0, 'recall': 0.0, 'precision': 0.0}
idx=1, metric_dict={'f1': 0, 'recall': 0.0, 'precision': 0.0}
idx=2, metric_dict={'f1': 0, 'recall': 0.0, 'precision': 0.0}
idx=3, metric_dict={'f1': 0, 'recall': 0.0, 'precision': 0.0}
idx=4, metric_dict={'f1': 0.0299, 'recall': 0.1429, 'precision': 0.0167}
idx=5, metric_dict={'f1': 0.027, 'recall': 0.0714, 'precision': 0.0167}
idx=6, metric_dict={'f1': 0.0253, 'recall': 0.0625, 'precision': 0.0159}
idx=7, metric_dict={'f1': 0.0244, 'recall': 0.0526, 'precision': 0.0159}
idx=8, metric_dict={'f1': 0.0241, 'recall': 0.05, 'precision': 0.0159}
idx=9, metric_dict={'f1': 0.0238, 'recall': 0.0476, 'precision': 0.0159}
idx=10, metric_dict={'f1': 0.044, 'recall': 0.0909, 'precision': 0.029}
idx=11, metric_dict={'f1': 0.0435, 'recall': 0.087, 'precision': 0.029}
idx=12, metric_dict={'f1': 0.08, 'recall': 0.16, 'precision': 0.0533}
idx=13, metric_dict={'f1': 0.064, 'recall': 0.1538, 'precision': 0.0404}
idx=14, metric_dict={'f1': 0.0635, 'recall': 0.1481, 'precision': 0.0404}
idx=15, metric_dict={'f1': 0.0625, 'recall': 0.1379, 'precision': 0.0404}
idx=16, metric_dict={'f1': 0.062, 'recall': 0.1333, 'precision': 0.0404}
idx=17, metric_dict={'f1': 0.0615, 'recall': 0.129, 'precision': 0.0404}
idx=18, metric_dict={'f1': 0.0365, 'recall': 0.1176, 'precision': 0.0216}
idx=19, metric_dict={'f1': 0.036, 'recall': 0.1143, 'precision': 0.0214}
idx=20, metric_dict={'f1': 0.0299, 'recall': 0.1111, 'precision': 0.0172}
idx=21, metric_dict={'f1': 0.0288, 'recall': 0.1081, 'precision': 0.0166}
idx=22, metric_dict={'f1': 0.0269, 'recall': 0.1053, 'precision': 0.0154}
idx=23, metric_dict={'f1': 0.0246, 'recall': 0.1026, 'precision': 0.014}
idx=24, metric_dict={'f1': 0.0243, 'recall': 0.1, 'precision': 0.0138}
idx=25, metric_dict={'f1': 0.023, 'recall': 0.0952, 'precision': 0.0131}
idx=26, metric_dict={'f1': 0.0219, 'recall': 0.0909, 'precision': 0.0125}
idx=27, metric_dict={'f1': 0.0272, 'recall': 0.1111, 'precision': 0.0155}
idx=28, metric_dict={'f1': 0.0271, 'recall': 0.1064, 'precision': 0.0155}
idx=29, metric_dict={'f1': 0.027, 'recall': 0.1042, 'precision': 0.0155}
idx=30, metric_dict={'f1': 0.0269, 'recall': 0.102, 'precision': 0.0155}
idx=31, metric_dict={'f1': 0.0267, 'recall': 0.1, 'precision': 0.0154}
idx=32, metric_dict={'f1': 0.0258, 'recall': 0.098, 'precision': 0.0149}
idx=33, metric_dict={'f1': 0.0258, 'recall': 0.0962, 'precision': 0.0149}
idx=34, metric_dict={'f1': 0.0246, 'recall': 0.0909, 'precision': 0.0142}
idx=35, metric_dict={'f1': 0.0284, 'recall': 0.1071, 'precision': 0.0164}
idx=36, metric_dict={'f1': 0.0282, 'recall': 0.1017, 'precision': 0.0164}
idx=37, metric_dict={'f1': 0.0328, 'recall': 0.1167, 'precision': 0.0191}
idx=38, metric_dict={'f1': 0.0364, 'recall': 0.1311, 'precision': 0.0212}
idx=39, metric_dict={'f1': 0.0357, 'recall': 0.129, 'precision': 0.0207}
idx=40, metric_dict={'f1': 0.0356, 'recall': 0.127, 'precision': 0.0207}
idx=41, metric_dict={'f1': 0.0397, 'recall': 0.1406, 'precision': 0.0231}
idx=42, metric_dict={'f1': 0.0434, 'recall': 0.1538, 'precision': 0.0253}
idx=43, metric_dict={'f1': 0.0333, 'recall': 0.1493, 'precision': 0.0188}
idx=44, metric_dict={'f1': 0.0314, 'recall': 0.1471, 'precision': 0.0176}
idx=45, metric_dict={'f1': 0.0335, 'recall': 0.1594, 'precision': 0.0187}
idx=46, metric_dict={'f1': 0.0335, 'recall': 0.1571, 'precision': 0.0187}
idx=47, metric_dict={'f1': 0.0364, 'recall': 0.169, 'precision': 0.0204}
idx=48, metric_dict={'f1': 0.0359, 'recall': 0.1667, 'precision': 0.0201}
idx=49, metric_dict={'f1': 0.0358, 'recall': 0.1644, 'precision': 0.0201}
idx=50, metric_dict={'f1': 0.0348, 'recall': 0.1622, 'precision': 0.0195}
idx=51, metric_dict={'f1': 0.0341, 'recall': 0.16, 'precision': 0.0191}
idx=52, metric_dict={'f1': 0.034, 'recall': 0.1579, 'precision': 0.019}
idx=53, metric_dict={'f1': 0.0366, 'recall': 0.1688, 'precision': 0.0205}
idx=54, metric_dict={'f1': 0.0356, 'recall': 0.1605, 'precision': 0.02}
idx=55, metric_dict={'f1': 0.0351, 'recall': 0.1585, 'precision': 0.0197}
idx=56, metric_dict={'f1': 0.0349, 'recall': 0.1566, 'precision': 0.0196}
idx=57, metric_dict={'f1': 0.0348, 'recall': 0.1548, 'precision': 0.0196}
idx=58, metric_dict={'f1': 0.0346, 'recall': 0.1529, 'precision': 0.0195}
idx=59, metric_dict={'f1': 0.0369, 'recall': 0.1591, 'precision': 0.0209}
idx=60, metric_dict={'f1': 0.0359, 'recall': 0.1556, 'precision': 0.0203}
idx=61, metric_dict={'f1': 0.0358, 'recall': 0.1538, 'precision': 0.0203}
idx=62, metric_dict={'f1': 0.0358, 'recall': 0.1522, 'precision': 0.0203}
idx=63, metric_dict={'f1': 0.0336, 'recall': 0.1613, 'precision': 0.0188}
idx=64, metric_dict={'f1': 0.0336, 'recall': 0.1596, 'precision': 0.0188}
idx=65, metric_dict={'f1': 0.0357, 'recall': 0.1684, 'precision': 0.02}
idx=66, metric_dict={'f1': 0.0353, 'recall': 0.1667, 'precision': 0.0197}
idx=67, metric_dict={'f1': 0.0348, 'recall': 0.1633, 'precision': 0.0195}
idx=68, metric_dict={'f1': 0.0347, 'recall': 0.1616, 'precision': 0.0195}
idx=69, metric_dict={'f1': 0.0347, 'recall': 0.16, 'precision': 0.0195}
idx=70, metric_dict={'f1': 0.0343, 'recall': 0.1569, 'precision': 0.0193}
idx=71, metric_dict={'f1': 0.0343, 'recall': 0.1553, 'precision': 0.0193}
idx=72, metric_dict={'f1': 0.0331, 'recall': 0.1538, 'precision': 0.0186}
idx=73, metric_dict={'f1': 0.0331, 'recall': 0.1524, 'precision': 0.0185}
idx=74, metric_dict={'f1': 0.033, 'recall': 0.1509, 'precision': 0.0185}
