{'model': {'name': 'react_fsl', 'max_iterations': 5, 'max_retry': 5, 'logname': 'react_fsl'}, 'tools': {'Finish': {'open': True}, 'GetTaskDescription': {'open': True}, 'GetRelationDefinition': {'open': True}, 'RetrieveExamples': {'open': True, 'mode': 'bge', 'k': 3}}, 'train': {'if_train': False, 'if_predict': True, 'if_evaluate': True}, 'data': {'type': 're', 'name': 'Wikidata', 'language': 'en', 'num_samples': 150, 'num_samples_index': 1000, 'train_num_samples': 0, 'input_trace': True}, 'llm': {'model_name': 'glm-4.7', 'temperature': 0, 'max_tokens': 4096, 'use_cache': False, 'client': 'academic'}}
Start predicting with 150 samples (indices 0..149).
idx=0, metric_dict={'f1': 0.5, 'recall': 0.5, 'precision': 0.5}
idx=1, metric_dict={'f1': 0.1053, 'recall': 0.3333, 'precision': 0.0625}
idx=2, metric_dict={'f1': 0.0606, 'recall': 0.2, 'precision': 0.0357}
idx=3, metric_dict={'f1': 0.0588, 'recall': 0.1667, 'precision': 0.0357}
idx=4, metric_dict={'f1': 0.0976, 'recall': 0.2857, 'precision': 0.0588}
idx=5, metric_dict={'f1': 0.0833, 'recall': 0.1429, 'precision': 0.0588}
idx=6, metric_dict={'f1': 0.05, 'recall': 0.125, 'precision': 0.0312}
idx=7, metric_dict={'f1': 0.0482, 'recall': 0.1053, 'precision': 0.0312}
idx=8, metric_dict={'f1': 0.0421, 'recall': 0.1, 'precision': 0.0267}
idx=9, metric_dict={'f1': 0.0417, 'recall': 0.0952, 'precision': 0.0267}
idx=10, metric_dict={'f1': 0.0388, 'recall': 0.0909, 'precision': 0.0247}
idx=11, metric_dict={'f1': 0.0333, 'recall': 0.087, 'precision': 0.0206}
idx=12, metric_dict={'f1': 0.0458, 'recall': 0.12, 'precision': 0.0283}
idx=13, metric_dict={'f1': 0.0513, 'recall': 0.1538, 'precision': 0.0308}
idx=14, metric_dict={'f1': 0.051, 'recall': 0.1481, 'precision': 0.0308}
idx=15, metric_dict={'f1': 0.0503, 'recall': 0.1379, 'precision': 0.0308}
idx=16, metric_dict={'f1': 0.0485, 'recall': 0.1333, 'precision': 0.0296}
idx=17, metric_dict={'f1': 0.0552, 'recall': 0.1613, 'precision': 0.0333}
idx=18, metric_dict={'f1': 0.0543, 'recall': 0.1471, 'precision': 0.0333}
idx=19, metric_dict={'f1': 0.0529, 'recall': 0.1429, 'precision': 0.0325}
idx=20, metric_dict={'f1': 0.0526, 'recall': 0.1389, 'precision': 0.0325}
