Attempt 2 REACT_FSL WIKIDATA RESULTS 

{'model': {'name': 'react_fsl', 'max_iterations': 5, 'max_retry': 5, 'logname': 'react_fsl'}, 'tools': {'Finish': {'open': True}, 'GetTaskDescription': {'open': True}, 'GetRelationDefinition': {'open': True}, 'RetrieveExamples': {'open': True, 'mode': 'bge', 'k': 3}}, 'train': {'if_train': False, 'if_predict': True, 'if_evaluate': True, 'trainer': 'trainer'}, 'data': {'type': 're', 'name': 'Wikidata', 'language': 'en', 'num_samples': 150, 'num_samples_index': 1000, 'train_num_samples': 0, 'input_trace': True}, 'llm': {'model_name': 'glm-4.7', 'temperature': 0, 'max_tokens': 4096, 'use_cache': False, 'client': 'academic'}}
Start predicting with 150 samples (indices 0..149).
idx=0, metric_dict={'f1': 0.5, 'recall': 0.5, 'precision': 0.5}
idx=1, metric_dict={'f1': 0.1818, 'recall': 0.3333, 'precision': 0.125}
idx=2, metric_dict={'f1': 0.1538, 'recall': 0.2, 'precision': 0.125}
idx=3, metric_dict={'f1': 0.0741, 'recall': 0.1667, 'precision': 0.0476}
idx=4, metric_dict={'f1': 0.1111, 'recall': 0.2857, 'precision': 0.069}
idx=5, metric_dict={'f1': 0.0714, 'recall': 0.2143, 'precision': 0.0429}
idx=6, metric_dict={'f1': 0.0435, 'recall': 0.1875, 'precision': 0.0246}
idx=7, metric_dict={'f1': 0.0426, 'recall': 0.1579, 'precision': 0.0246}
idx=8, metric_dict={'f1': 0.0382, 'recall': 0.15, 'precision': 0.0219}
idx=9, metric_dict={'f1': 0.038, 'recall': 0.1429, 'precision': 0.0219}
idx=10, metric_dict={'f1': 0.0485, 'recall': 0.1818, 'precision': 0.028}
idx=11, metric_dict={'f1': 0.0437, 'recall': 0.1739, 'precision': 0.025}
idx=12, metric_dict={'f1': 0.0508, 'recall': 0.2, 'precision': 0.0291}
idx=13, metric_dict={'f1': 0.0538, 'recall': 0.2308, 'precision': 0.0305}
idx=14, metric_dict={'f1': 0.0536, 'recall': 0.2222, 'precision': 0.0305}
idx=15, metric_dict={'f1': 0.0531, 'recall': 0.2069, 'precision': 0.0305}
idx=16, metric_dict={'f1': 0.0596, 'recall': 0.2333, 'precision': 0.0341}
idx=17, metric_dict={'f1': 0.064, 'recall': 0.2581, 'precision': 0.0365}
idx=18, metric_dict={'f1': 0.0632, 'recall': 0.2353, 'precision': 0.0365}
idx=19, metric_dict={'f1': 0.0618, 'recall': 0.2286, 'precision': 0.0357}
idx=20, metric_dict={'f1': 0.0556, 'recall': 0.2222, 'precision': 0.0317}
idx=21, metric_dict={'f1': 0.0596, 'recall': 0.2432, 'precision': 0.034}
idx=22, metric_dict={'f1': 0.0594, 'recall': 0.2368, 'precision': 0.034}
idx=23, metric_dict={'f1': 0.0592, 'recall': 0.2308, 'precision': 0.034}
idx=24, metric_dict={'f1': 0.0583, 'recall': 0.225, 'precision': 0.0335}
idx=25, metric_dict={'f1': 0.0579, 'recall': 0.2143, 'precision': 0.0335}
idx=26, metric_dict={'f1': 0.0608, 'recall': 0.2273, 'precision': 0.0351}
idx=27, metric_dict={'f1': 0.0665, 'recall': 0.2444, 'precision': 0.0385}
idx=28, metric_dict={'f1': 0.0615, 'recall': 0.234, 'precision': 0.0354}
idx=29, metric_dict={'f1': 0.0613, 'recall': 0.2292, 'precision': 0.0354}
idx=30, metric_dict={'f1': 0.0584, 'recall': 0.2245, 'precision': 0.0335}
idx=31, metric_dict={'f1': 0.0582, 'recall': 0.22, 'precision': 0.0335}
idx=32, metric_dict={'f1': 0.0571, 'recall': 0.2157, 'precision': 0.0329}
idx=33, metric_dict={'f1': 0.0543, 'recall': 0.2115, 'precision': 0.0312}
idx=34, metric_dict={'f1': 0.0539, 'recall': 0.2, 'precision': 0.0312}
idx=35, metric_dict={'f1': 0.0566, 'recall': 0.2143, 'precision': 0.0326}
idx=36, metric_dict={'f1': 0.0575, 'recall': 0.2203, 'precision': 0.0331}
idx=37, metric_dict={'f1': 0.0611, 'recall': 0.2333, 'precision': 0.0352}
idx=38, metric_dict={'f1': 0.0649, 'recall': 0.2459, 'precision': 0.0374}
idx=39, metric_dict={'f1': 0.0615, 'recall': 0.2419, 'precision': 0.0352}
idx=40, metric_dict={'f1': 0.0612, 'recall': 0.2381, 'precision': 0.0351}
idx=41, metric_dict={'f1': 0.0643, 'recall': 0.25, 'precision': 0.0369}
idx=42, metric_dict={'f1': 0.0641, 'recall': 0.2462, 'precision': 0.0369}
idx=43, metric_dict={'f1': 0.0639, 'recall': 0.2388, 'precision': 0.0369}
idx=44, metric_dict={'f1': 0.062, 'recall': 0.2353, 'precision': 0.0357}
idx=45, metric_dict={'f1': 0.0644, 'recall': 0.2464, 'precision': 0.037}
idx=46, metric_dict={'f1': 0.0631, 'recall': 0.2429, 'precision': 0.0362}
idx=47, metric_dict={'f1': 0.0661, 'recall': 0.2535, 'precision': 0.038}
idx=48, metric_dict={'f1': 0.0636, 'recall': 0.25, 'precision': 0.0364}
idx=49, metric_dict={'f1': 0.0611, 'recall': 0.2466, 'precision': 0.0349}
idx=50, metric_dict={'f1': 0.061, 'recall': 0.2432, 'precision': 0.0349}
idx=51, metric_dict={'f1': 0.0592, 'recall': 0.24, 'precision': 0.0338}
idx=52, metric_dict={'f1': 0.059, 'recall': 0.2368, 'precision': 0.0337}
idx=53, metric_dict={'f1': 0.0582, 'recall': 0.2338, 'precision': 0.0332}
idx=54, metric_dict={'f1': 0.0596, 'recall': 0.2346, 'precision': 0.0341}
idx=55, metric_dict={'f1': 0.0595, 'recall': 0.2317, 'precision': 0.0341}
idx=56, metric_dict={'f1': 0.0589, 'recall': 0.2289, 'precision': 0.0338}
idx=57, metric_dict={'f1': 0.0566, 'recall': 0.2262, 'precision': 0.0324}
idx=58, metric_dict={'f1': 0.0561, 'recall': 0.2235, 'precision': 0.0321}
idx=59, metric_dict={'f1': 0.0554, 'recall': 0.2159, 'precision': 0.0318}
idx=60, metric_dict={'f1': 0.0552, 'recall': 0.2111, 'precision': 0.0318}
idx=61, metric_dict={'f1': 0.0552, 'recall': 0.2088, 'precision': 0.0318}
idx=62, metric_dict={'f1': 0.0544, 'recall': 0.2065, 'precision': 0.0313}
idx=63, metric_dict={'f1': 0.0564, 'recall': 0.2151, 'precision': 0.0325}
idx=64, metric_dict={'f1': 0.0563, 'recall': 0.2128, 'precision': 0.0325}
idx=65, metric_dict={'f1': 0.0585, 'recall': 0.2211, 'precision': 0.0337}
idx=66, metric_dict={'f1': 0.0576, 'recall': 0.2188, 'precision': 0.0332}
idx=67, metric_dict={'f1': 0.059, 'recall': 0.2245, 'precision': 0.034}
idx=68, metric_dict={'f1': 0.0613, 'recall': 0.2323, 'precision': 0.0353}
idx=69, metric_dict={'f1': 0.0613, 'recall': 0.23, 'precision': 0.0353}
idx=70, metric_dict={'f1': 0.0611, 'recall': 0.2255, 'precision': 0.0353}
idx=71, metric_dict={'f1': 0.0597, 'recall': 0.2233, 'precision': 0.0345}
idx=72, metric_dict={'f1': 0.0588, 'recall': 0.2212, 'precision': 0.0339}
idx=73, metric_dict={'f1': 0.0587, 'recall': 0.219, 'precision': 0.0339}
idx=74, metric_dict={'f1': 0.0582, 'recall': 0.217, 'precision': 0.0336}
idx=75, metric_dict={'f1': 0.0605, 'recall': 0.2243, 'precision': 0.0349}
idx=76, metric_dict={'f1': 0.0627, 'recall': 0.2315, 'precision': 0.0363}
idx=77, metric_dict={'f1': 0.0611, 'recall': 0.2294, 'precision': 0.0353}
idx=78, metric_dict={'f1': 0.0611, 'recall': 0.2273, 'precision': 0.0353}
idx=79, metric_dict={'f1': 0.0608, 'recall': 0.2212, 'precision': 0.0353}
idx=80, metric_dict={'f1': 0.0606, 'recall': 0.2155, 'precision': 0.0353}
idx=81, metric_dict={'f1': 0.0602, 'recall': 0.2137, 'precision': 0.035}
idx=82, metric_dict={'f1': 0.0589, 'recall': 0.2119, 'precision': 0.0342}
idx=83, metric_dict={'f1': 0.0607, 'recall': 0.2185, 'precision': 0.0352}
idx=84, metric_dict={'f1': 0.0626, 'recall': 0.225, 'precision': 0.0364}
idx=85, metric_dict={'f1': 0.0602, 'recall': 0.2231, 'precision': 0.0348}
idx=86, metric_dict={'f1': 0.0588, 'recall': 0.2213, 'precision': 0.0339}
idx=87, metric_dict={'f1': 0.0587, 'recall': 0.2195, 'precision': 0.0339}
idx=88, metric_dict={'f1': 0.0573, 'recall': 0.2177, 'precision': 0.033}
idx=89, metric_dict={'f1': 0.0572, 'recall': 0.216, 'precision': 0.033}
idx=90, metric_dict={'f1': 0.0568, 'recall': 0.2143, 'precision': 0.0328}
idx=91, metric_dict={'f1': 0.0586, 'recall': 0.2205, 'precision': 0.0338}
idx=92, metric_dict={'f1': 0.0606, 'recall': 0.2266, 'precision': 0.035}
idx=93, metric_dict={'f1': 0.0583, 'recall': 0.2197, 'precision': 0.0336}
idx=94, metric_dict={'f1': 0.0578, 'recall': 0.218, 'precision': 0.0333}
idx=95, metric_dict={'f1': 0.0591, 'recall': 0.2239, 'precision': 0.034}
idx=96, metric_dict={'f1': 0.0588, 'recall': 0.2222, 'precision': 0.0339}
idx=97, metric_dict={'f1': 0.0593, 'recall': 0.2279, 'precision': 0.0341}
idx=98, metric_dict={'f1': 0.0581, 'recall': 0.2263, 'precision': 0.0333}
idx=99, metric_dict={'f1': 0.0596, 'recall': 0.2319, 'precision': 0.0342}
idx=100, metric_dict={'f1': 0.0612, 'recall': 0.2374, 'precision': 0.0351}
idx=101, metric_dict={'f1': 0.0608, 'recall': 0.2357, 'precision': 0.0349}
idx=102, metric_dict={'f1': 0.0625, 'recall': 0.2411, 'precision': 0.0359}
idx=103, metric_dict={'f1': 0.0624, 'recall': 0.2394, 'precision': 0.0359}
idx=104, metric_dict={'f1': 0.0635, 'recall': 0.2397, 'precision': 0.0366}
idx=105, metric_dict={'f1': 0.0633, 'recall': 0.2349, 'precision': 0.0366}
idx=106, metric_dict={'f1': 0.0647, 'recall': 0.24, 'precision': 0.0374}
idx=107, metric_dict={'f1': 0.0659, 'recall': 0.245, 'precision': 0.0381}
idx=108, metric_dict={'f1': 0.0655, 'recall': 0.2434, 'precision': 0.0379}
idx=109, metric_dict={'f1': 0.0681, 'recall': 0.2532, 'precision': 0.0394}
idx=110, metric_dict={'f1': 0.0681, 'recall': 0.2516, 'precision': 0.0394}
idx=111, metric_dict={'f1': 0.068, 'recall': 0.25, 'precision': 0.0394}
idx=112, metric_dict={'f1': 0.0668, 'recall': 0.2484, 'precision': 0.0386}
idx=113, metric_dict={'f1': 0.0668, 'recall': 0.2468, 'precision': 0.0386}
idx=114, metric_dict={'f1': 0.0667, 'recall': 0.2453, 'precision': 0.0386}
idx=115, metric_dict={'f1': 0.0663, 'recall': 0.2437, 'precision': 0.0383}
idx=116, metric_dict={'f1': 0.0661, 'recall': 0.2422, 'precision': 0.0383}
idx=117, metric_dict={'f1': 0.0657, 'recall': 0.2407, 'precision': 0.038}
idx=118, metric_dict={'f1': 0.0657, 'recall': 0.2393, 'precision': 0.038}
idx=119, metric_dict={'f1': 0.0661, 'recall': 0.2439, 'precision': 0.0382}
idx=120, metric_dict={'f1': 0.0657, 'recall': 0.2424, 'precision': 0.038}
idx=121, metric_dict={'f1': 0.0654, 'recall': 0.2339, 'precision': 0.038}
idx=122, metric_dict={'f1': 0.0644, 'recall': 0.2326, 'precision': 0.0374}
idx=123, metric_dict={'f1': 0.0644, 'recall': 0.2312, 'precision': 0.0374}
idx=124, metric_dict={'f1': 0.0642, 'recall': 0.2273, 'precision': 0.0374}
idx=125, metric_dict={'f1': 0.0637, 'recall': 0.226, 'precision': 0.0371}
idx=126, metric_dict={'f1': 0.0635, 'recall': 0.2247, 'precision': 0.037}
idx=127, metric_dict={'f1': 0.0632, 'recall': 0.2235, 'precision': 0.0368}
idx=128, metric_dict={'f1': 0.0632, 'recall': 0.2222, 'precision': 0.0368}
idx=129, metric_dict={'f1': 0.0646, 'recall': 0.2265, 'precision': 0.0376}
idx=130, metric_dict={'f1': 0.0639, 'recall': 0.224, 'precision': 0.0373}
idx=131, metric_dict={'f1': 0.0654, 'recall': 0.2283, 'precision': 0.0381}
idx=132, metric_dict={'f1': 0.0661, 'recall': 0.2312, 'precision': 0.0385}
idx=133, metric_dict={'f1': 0.065, 'recall': 0.2287, 'precision': 0.0379}
idx=134, metric_dict={'f1': 0.0649, 'recall': 0.2275, 'precision': 0.0379}
idx=135, metric_dict={'f1': 0.0643, 'recall': 0.2263, 'precision': 0.0375}
idx=136, metric_dict={'f1': 0.0643, 'recall': 0.2251, 'precision': 0.0375}
idx=137, metric_dict={'f1': 0.0642, 'recall': 0.2228, 'precision': 0.0375}
idx=138, metric_dict={'f1': 0.0636, 'recall': 0.2216, 'precision': 0.0371}
idx=139, metric_dict={'f1': 0.0634, 'recall': 0.2205, 'precision': 0.037}
idx=140, metric_dict={'f1': 0.0629, 'recall': 0.2194, 'precision': 0.0367}
idx=141, metric_dict={'f1': 0.0639, 'recall': 0.2234, 'precision': 0.0373}
idx=142, metric_dict={'f1': 0.0638, 'recall': 0.2211, 'precision': 0.0373}
idx=143, metric_dict={'f1': 0.0637, 'recall': 0.22, 'precision': 0.0373}
idx=144, metric_dict={'f1': 0.0644, 'recall': 0.2239, 'precision': 0.0376}
idx=145, metric_dict={'f1': 0.0643, 'recall': 0.2228, 'precision': 0.0376}
idx=146, metric_dict={'f1': 0.0642, 'recall': 0.2217, 'precision': 0.0376}
idx=147, metric_dict={'f1': 0.0646, 'recall': 0.2255, 'precision': 0.0377}
idx=148, metric_dict={'f1': 0.0645, 'recall': 0.2244, 'precision': 0.0376}
idx=149, metric_dict={'f1': 0.0644, 'recall': 0.2233, 'precision': 0.0376}
Saving LLM input trace to input_trace_Wikidata/llm_input_trace_react_fsl_glm-4.7_Wikidata_.json...
Finish predicting with 150 samples.
Loading results...
Generating train split: 150 examples [00:06, 24.93 examples/s]
Evaluating...
Evaluation result: {'f1': 0.0644, 'recall': 0.2233, 'precision': 0.0376}
