{'model': {'name': 'react_fsl', 'max_iterations': 5, 'max_retry': 5, 'logname': 'react_fsl'}, 'tools': {'Finish': {'open': True}, 'GetTaskDescription': {'open': True}, 'GetRelationDefinition': {'open': True}, 'RetrieveExamples': {'open': True, 'mode': 'bge', 'k': 3}}, 'train': {'if_train': False, 'if_predict': True, 'if_evaluate': True, 'trainer': 'trainer'}, 'data': {'type': 're', 'name': 'Wikidata', 'language': 'en', 'num_samples': 150, 'num_samples_index': 1000, 'train_num_samples': 0, 'input_trace': True}, 'llm': {'model_name': 'glm-4.7', 'temperature': 0, 'max_tokens': 4096, 'use_cache': False, 'client': 'academic'}}
Start predicting with 150 samples (indices 0..149).
idx=0, metric_dict={'f1': 0.5, 'recall': 0.5, 'precision': 0.5}
idx=1, metric_dict={'f1': 0.1538, 'recall': 0.3333, 'precision': 0.1}
idx=2, metric_dict={'f1': 0.08, 'recall': 0.2, 'precision': 0.05}
idx=3, metric_dict={'f1': 0.0526, 'recall': 0.1667, 'precision': 0.0312}
idx=4, metric_dict={'f1': 0.0889, 'recall': 0.2857, 'precision': 0.0526}
idx=5, metric_dict={'f1': 0.0769, 'recall': 0.1429, 'precision': 0.0526}
idx=6, metric_dict={'f1': 0.0741, 'recall': 0.125, 'precision': 0.0526}
idx=7, metric_dict={'f1': 0.0645, 'recall': 0.1579, 'precision': 0.0405}
idx=8, metric_dict={'f1': 0.0556, 'recall': 0.15, 'precision': 0.0341}
idx=9, metric_dict={'f1': 0.055, 'recall': 0.1429, 'precision': 0.0341}
idx=10, metric_dict={'f1': 0.069, 'recall': 0.1818, 'precision': 0.0426}
idx=11, metric_dict={'f1': 0.0611, 'recall': 0.1739, 'precision': 0.037}
idx=12, metric_dict={'f1': 0.0709, 'recall': 0.2, 'precision': 0.0431}
idx=13, metric_dict={'f1': 0.0727, 'recall': 0.2308, 'precision': 0.0432}
idx=14, metric_dict={'f1': 0.0541, 'recall': 0.2222, 'precision': 0.0308}
idx=15, metric_dict={'f1': 0.0632, 'recall': 0.2759, 'precision': 0.0357}
idx=16, metric_dict={'f1': 0.0611, 'recall': 0.2667, 'precision': 0.0345}
idx=17, metric_dict={'f1': 0.0647, 'recall': 0.2903, 'precision': 0.0364}
idx=18, metric_dict={'f1': 0.0641, 'recall': 0.2647, 'precision': 0.0364}
idx=19, metric_dict={'f1': 0.0629, 'recall': 0.2571, 'precision': 0.0359}
idx=20, metric_dict={'f1': 0.0627, 'recall': 0.25, 'precision': 0.0359}
idx=21, metric_dict={'f1': 0.0671, 'recall': 0.2703, 'precision': 0.0383}
idx=22, metric_dict={'f1': 0.0612, 'recall': 0.2632, 'precision': 0.0346}
idx=23, metric_dict={'f1': 0.0578, 'recall': 0.2564, 'precision': 0.0326}
idx=24, metric_dict={'f1': 0.057, 'recall': 0.25, 'precision': 0.0322}
idx=25, metric_dict={'f1': 0.0541, 'recall': 0.2381, 'precision': 0.0305}
